State,Year,Per_capita_consumption
Colorado,1977,2.95
Connecticut,2016,2.45
Connecticut,2015,2.41
Connecticut,2014,2.37
Connecticut,2013,2.37
Connecticut,2012,2.39
Connecticut,2011,2.35
Connecticut,2010,2.35
Connecticut,2009,2.31
Connecticut,2008,2.36
Connecticut,2007,2.33
Connecticut,2006,2.3
Connecticut,2005,2.23
Connecticut,2004,2.25
Connecticut,2003,2.23
Connecticut,2002,2.21
Connecticut,2001,2.19
Connecticut,2000,2.18
Connecticut,1999,2.18
Connecticut,1998,2.21
Connecticut,1997,2.17
Connecticut,1996,2.09
Connecticut,1995,2.2
Connecticut,1994,2.2
Connecticut,1993,2.2
Connecticut,1992,2.3
Connecticut,1991,2.29
Connecticut,1990,2.46
Connecticut,1989,2.5
Connecticut,1988,2.67
Connecticut,1987,2.75
Connecticut,1986,2.76
Connecticut,1985,2.81
Connecticut,1984,2.78
Connecticut,1983,2.8
Connecticut,1982,2.74
Connecticut,1981,2.67
Connecticut,1980,2.69
Connecticut,1979,2.76
Connecticut,1978,2.69
Connecticut,1977,2.64
Delaware,2016,3.72
Delaware,2015,3.65
Delaware,2014,3.59
Delaware,2013,3.59
Delaware,2012,3.59
Delaware,2011,3.55
Delaware,2010,3.38
Delaware,2009,3.31
Delaware,2008,3.15
Delaware,2007,3.19
Delaware,2006,3.26
Delaware,2005,3.25
Delaware,2004,3.27
Delaware,2003,3.12
Delaware,2002,3.01
Delaware,2001,2.94
Delaware,2000,2.89
Delaware,1999,2.9
Delaware,1998,2.91
Delaware,1997,2.81
Delaware,1996,2.78
Delaware,1995,2.62
Delaware,1994,2.76
Delaware,1993,2.76
Delaware,1992,2.73
Delaware,1991,2.7
Delaware,1990,2.95
Delaware,1989,2.96
Delaware,1988,3.08
Delaware,1987,3.12
Delaware,1986,3.16
Delaware,1985,3.2
Delaware,1984,3.2
Delaware,1983,3.25
Delaware,1982,3.26
Delaware,1981,3.24
Delaware,1980,3.11
Delaware,1979,2.92
Delaware,1978,2.85
Delaware,1977,2.86
District of Columbia,2016,3.85
District of Columbia,2015,3.85
District of Columbia,2014,3.84
District of Columbia,2013,3.84
District of Columbia,2012,3.85
District of Columbia,2011,3.82
District of Columbia,2010,3.83
District of Columbia,2009,3.88
District of Columbia,2008,4
District of Columbia,2007,4
District of Columbia,2006,3.94
District of Columbia,2005,3.9
District of Columbia,2004,3.8
District of Columbia,2003,3.76
District of Columbia,2002,3.66
District of Columbia,2001,3.61
District of Columbia,2000,3.65
District of Columbia,1999,3.52
District of Columbia,1998,3.73
District of Columbia,1997,3.83
District of Columbia,1996,3.67
District of Columbia,1995,3.79
District of Columbia,1994,3.76
District of Columbia,1993,3.78
District of Columbia,1992,4.05
District of Columbia,1991,3.89
District of Columbia,1990,4.14
District of Columbia,1989,3.92
District of Columbia,1988,4.22
District of Columbia,1987,4.62
District of Columbia,1986,4.54
District of Columbia,1985,4.8
District of Columbia,1984,5.17
District of Columbia,1983,5.27
District of Columbia,1982,5.33
District of Columbia,1981,5.42
District of Columbia,1980,5.41
District of Columbia,1979,5.3
District of Columbia,1978,5.33
District of Columbia,1977,5.37
Florida,2016,2.65
Florida,2015,2.6
Florida,2014,2.59
Florida,2013,2.72
Florida,2012,2.72
Florida,2011,2.54
Florida,2010,2.5
Florida,2009,2.58
Florida,2008,2.61
Florida,2007,2.68
Florida,2006,2.7
Florida,2005,2.7
Florida,2004,2.68
Florida,2003,2.61
Florida,2002,2.58
Florida,2001,2.54
Florida,2000,2.56
Florida,1999,2.53
Florida,1998,2.5
Florida,1997,2.53
Florida,1996,2.54
Florida,1995,2.5
Florida,1994,2.6
Florida,1993,2.68
Florida,1992,2.75
Florida,1991,2.69
Florida,1990,2.96
Florida,1989,2.89
Florida,1988,2.91
Florida,1987,2.95
Florida,1986,2.96
Florida,1985,3.04
Florida,1984,3.09
Florida,1983,3.16
Florida,1982,3.26
Florida,1981,3.3
Florida,1980,3.18
Florida,1979,3.14
Florida,1978,3.07
Florida,1977,2.99
Georgia,2016,1.94
Georgia,2015,1.94
Georgia,2014,1.96
Georgia,2013,1.97
Georgia,2012,1.98
Georgia,2011,1.98
Georgia,2010,1.98
Georgia,2009,2.01
Georgia,2008,2.06
Georgia,2007,2.1
Georgia,2006,2.1
Georgia,2005,2.07
Georgia,2004,2.11
Georgia,2003,2.13
Georgia,2002,2.13
Georgia,2001,2.11
Georgia,2000,2.16
Georgia,1999,2.18
Georgia,1998,2.15
Georgia,1997,2.13
Georgia,1996,2.18
Georgia,1995,2.12
Georgia,1994,2.14
Georgia,1993,2.2
Georgia,1992,2.23
Georgia,1991,2.17
Georgia,1990,2.31
Georgia,1989,2.36
Georgia,1988,2.39
Georgia,1987,2.48
Georgia,1986,2.43
Georgia,1985,2.44
Georgia,1984,2.48
Georgia,1983,2.42
Georgia,1982,2.36
Georgia,1981,2.38
Georgia,1980,2.33
Georgia,1979,2.44
Georgia,1978,2.48
Georgia,1977,2.37
Hawaii,2016,2.63
Hawaii,2015,2.6
Hawaii,2014,2.59
Hawaii,2013,2.56
Hawaii,2012,2.54
Hawaii,2011,2.52
Hawaii,2010,2.48
Hawaii,2009,2.49
Hawaii,2008,2.56
Hawaii,2007,2.55
Hawaii,2006,2.52
Hawaii,2005,2.47
